Implementation,MessageSize,Threads,CPUCycles,CacheMisses,L1Misses,LLCMisses,ContextSwitches,TimeElapsed,ThroughputGbps,LatencyUs,TotalBytes
A1,512,1,211972758136,259983032,818141187,1182965,420394,30.001349080,12.867482,2.55,48253067264
A1,512,2,388916874569,223057953,1488422521,4553536,577145,30.001405667,19.032230,1.72,71370866688
A1,512,4,659712356290,451974378,2271607437,15493195,768846,30.001429269,27.882105,1.18,104557899776
A1,512,8,858911564665,2659995299,2638561373,60807549,367800,30.003799788,32.031218,1.02,120123695104
A1,1024,1,209865235132,287704160,1398723231,1650106,595697,30.001348665,21.881606,3.00,82056028160
A1,1024,2,368497953176,172645099,2520122726,5806962,929543,30.001424666,31.959941,2.05,119849779200
A1,1024,4,621378449506,700782071,3951338501,54462383,1144247,30.001403304,45.575520,1.44,170908221440
A1,1024,8,790173513239,5283287200,3326190884,430487024,302902,30.002091027,48.429173,1.35,181609406464
A1,2048,1,194443371119,635536487,1694977650,38389687,619837,30.001637414,28.062282,4.67,105233563648
A1,2048,2,337956256754,938602023,2808496463,151830844,1029012,30.001503529,40.253261,3.26,150949756928
A1,2048,4,585842552895,2209936234,4182296297,474399924,1372298,30.001927680,64.636987,2.03,242388746240
A1,2048,8,942951103264,6918334330,2897693161,2037412624,103099,30.002238870,55.156315,2.38,206836269056
A1,4096,1,192751235490,699441970,2144719547,202979544,439949,30.001618163,35.343017,7.42,132536336384
A1,4096,2,327036825302,960780470,3782661878,241303311,1587925,30.002534230,56.595446,4.63,212232929280
A1,4096,4,545330766760,905708240,5703317621,277005689,2803442,30.001904444,90.459078,2.90,339221741568
A1,4096,8,1047858119940,6902852281,3307527651,2504800793,100147,30.002506104,56.556364,4.64,212086521856
A2,512,1,190851730358,451447825,1803666510,9077044,581205,30.001489442,31.053073,1.06,116449026048
A2,512,2,371372169984,425776513,3768769358,16695155,1091535,30.002036543,49.133742,0.67,184251539456
A2,512,4,663679652696,3821566261,4341060650,336230420,727297,30.002008465,58.083719,0.56,217813970944
A2,512,8,857823781113,6387033204,3151619213,731889262,97556,30.002549108,49.283623,0.66,184813616266
A2,1024,1,163707030611,666262359,2311135103,40893048,575943,30.002496426,37.572633,1.74,140897386496
A2,1024,2,357231665368,501447770,4984302517,59978462,1265388,30.001856101,65.505499,1.00,245645631488
A2,1024,4,732496403523,5539960232,2935058516,1524378406,358841,30.001846119,55.565918,1.18,208372211712
A2,1024,8,934431950840,6564639096,3208598139,1694690824,93128,30.002725778,52.768007,1.24,197880312565
A2,2048,1,177415908932,545739672,3274122717,37951639,908974,30.001460126,52.321959,2.51,196207362048
A2,2048,2,332554573474,473531528,6270355807,91732892,1855922,30.001434816,80.000589,1.64,300002312192
A2,2048,4,747554396518,6155639895,2571042032,2313540259,33614,30.002079781,48.960052,2.68,183600250880
A2,2048,8,979882088948,6623315831,2985314632,2328728464,86259,30.002288238,53.658288,2.44,201218627701
A2,4096,1,158035962299,303565429,3938318469,34360883,1344909,30.001351264,55.592369,4.71,208471392256
A2,4096,2,303691406521,283885743,7357213971,48207474,2417418,30.001633496,86.799721,3.02,325498994688
A2,4096,4,710957329903,5520539539,3552286055,2327336042,472040,30.002788433,60.226676,4.33,225850195968
A2,4096,8,1107195540797,6627982615,3026918530,2497613019,91922,30.002915120,53.635135,4.89,201131848861
A3,512,1,140600647661,1013553563,1699643711,8446393,741916,30.001391376,23.670250,1.38,88763437056
A3,512,2,309968903000,2487358492,3387870313,35742267,1092048,30.001602011,39.606024,0.83,148522598400
A3,512,4,565993476664,6037618347,4101595450,944055814,1046281,30.002807688,51.888326,0.63,194582167499
A3,512,8,884767384962,7771473973,3246361637,2226755894,267152,30.149821223,44.598725,0.73,167911235266
A3,1024,1,150327361919,942942131,2127957658,31250748,1228617,30.001528527,31.623075,2.07,118586540032
A3,1024,2,280619437001,2104655718,3817378850,118117234,1667532,30.001359577,48.312073,1.36,181170315264
A3,1024,4,470191312495,4439344734,5180801379,672884060,1745709,30.003274215,60.970831,1.07,228641578955
A3,1024,8,1281235539363,8523642459,3740313153,2926282126,161841,30.062456698,45.699746,1.43,171633622775
A3,2048,1,144546297574,1083463788,2515979020,66533862,644469,30.001662731,33.104753,3.95,124142829568
A3,2048,2,253569647207,2675609344,3782762120,508736169,1040360,30.001833176,42.772196,3.05,160396083200
A3,2048,4,554197719906,6780923882,3717212186,1946458979,636908,30.077659700,42.899810,3.04,161282653996
A3,2048,8,990970229343,8623601052,4707720415,2961186130,256390,30.037646501,47.142679,2.78,176817683314
A3,4096,1,138837854419,246793909,2678798530,32318453,1141267,30.001302881,38.991085,6.71,146216583168
A3,4096,2,273676432100,925712551,5580547384,103599845,1960291,30.001989363,64.037822,4.07,240141893632
A3,4096,4,569069013764,6571398136,6658768694,1731823961,1792549,30.109204346,69.858118,3.72,262818168832
A3,4096,8,1373147392890,8962241055,7092751311,3276203920,177184,30.005468993,48.545002,5.40,182043770297
